freq	unwrap(phase(fs(V_import_4,0Hz, 600MHz,2000,,,,0 nsec,250nsec)))-unwrap(phase(fs(V_import_3,0Hz, 600MHz,2000,,,,0 nsec,250nsec)))
0.00000000000000000E0	1.34204077112076958E-11
3.00150075037518782E5	-6.56958242709350682E0
6.00300150075037564E5	-1.31558964861813621E1
9.00450225112556168E5	-1.97753639665748437E1
1.20060030015007513E6	-2.64437463834157338E1
1.50075037518759391E6	-3.31757158683434250E1
1.80090045022511225E6	-3.99843139674447912E1
2.10105052526263147E6	-4.68802776148121580E1
2.40120060030015026E6	-5.38712303672981285E1
2.70135067533766859E6	-6.09607699422946769E1
3.00150075037518782E6	-6.81475252119089880E1
3.30165082541270616E6	-7.54243110463759781E1
3.60180090045022450E6	-8.27775569949903733E1
3.90195097548774328E6	-9.01872164728778891E1
4.20210105052526295E6	-9.76273459014331380E1
4.50225112556278084E6	-1.05067464032987146E2
4.80240120060030051E6	-1.12474666220025799E2
5.10255127563781841E6	-1.19816297532178417E2
5.40270135067533719E6	-1.27062844774050676E2
5.70285142571285597E6	-1.34190640174999398E2
6.00300150075037564E6	-1.41184002431592437E2
6.30315157578789353E6	-1.48036561703195790E2
6.60330165082541232E6	-1.54751677223814310E2
6.90345172586293199E6	-1.61341995676550054E2
7.20360180090044899E6	-1.67828297599984810E2
7.50375187593796955E6	-1.74237812001718417E2
7.80390195097548656E6	-1.80602175619655769E2
8.10405202601300800E6	-1.86955184611322700E2
8.40420210105052590E6	-1.93330459558967394E2
8.70435217608804557E6	-1.99759127962294092E2
9.00450225112556168E6	-2.06267628372228629E2
9.30465232616308313E6	-2.12875755828319146E2
9.60480240120060103E6	-2.19595090999450049E2
9.90495247623811892E6	-2.26427976821200527E2
1.02051025512756377E7	-2.33367201942617353E2
1.05052526263131552E7	-2.40396512508184568E2
1.08054027013506748E7	-2.47491977835367427E2
1.11055527763881945E7	-2.54624109398983700E2
1.14057028514257119E7	-2.61760490908399657E2
1.17058529264632316E7	-2.68868575747108318E2
1.20060030015007513E7	-2.75918284275784043E2
1.23061530765382687E7	-2.82884094938584862E2
1.26063031515757862E7	-2.89746448918059230E2
1.29064532266133059E7	-2.96492437006028009E2
1.32066033016508255E7	-3.03115855652047017E2
1.35067533766883452E7	-3.09616790595712610E2
1.38069034517258649E7	-3.16000905056737791E2
1.41070535267633801E7	-3.22278585374500182E2
1.44072036018008975E7	-3.28464059392541952E2
1.47073536768384172E7	-3.34574552874588127E2
1.50075037518759391E7	-3.40629516053077674E2
1.53076538269134566E7	-3.46649920727000005E2
1.56078039019509740E7	-3.52657613461117725E2
1.59079539769884981E7	-3.58674699870750313E2
1.62081040520260156E7	-3.64722933477816991E2
1.65082541270635308E7	-3.70823084456049656E2
1.68084042021010527E7	-3.76994269852330177E2
1.71085542771385701E7	-3.83253234846172219E2
1.74087043521760920E7	-3.89613590143860389E2
1.77088544272136050E7	-3.96085023753932797E2
1.80090045022511225E7	-4.02672530931405337E2
1.83091545772886422E7	-4.09375726591103817E2
1.86093046523261663E7	-4.16188331049490845E2
1.89094547273636771E7	-4.23097939235344001E2
1.92096048024012012E7	-4.30086187401216158E2
1.95097548774387164E7	-4.37129412740778900E2
1.98099049524762383E7	-4.44199852519342819E2
2.01100550275137602E7	-4.51267351346383627E2
2.04102051025512754E7	-4.58301452358599715E2
2.07103551775887951E7	-4.65273664044057789E2
2.10105052526263103E7	-4.72159644863991712E2
2.13106553276638344E7	-4.78941053313446297E2
2.16108054027013496E7	-4.85606863538562106E2
2.19109554777388738E7	-4.92154039365817830E2
2.22111055527763890E7	-4.98587554351467244E2
2.25112556278139042E7	-5.04919823960440262E2
2.28114057028514239E7	-5.11169665682201835E2
2.31115557778889436E7	-5.17360918397518166E2
2.34117058529264632E7	-5.23520846897238012E2
2.37118559279639785E7	-5.29678439805258527E2
2.40120060030015026E7	-5.35862687066960675E2
2.43121560780390222E7	-5.42100906791613024E2
2.46123061530765375E7	-5.48417182231436140E2
2.49124562281140616E7	-5.54830966224135835E2
2.52126063031515724E7	-5.61355919581087726E2
2.55127563781890920E7	-5.67999053767731965E2
2.58129064532266117E7	-5.74760261177229914E2
2.61130565282641269E7	-5.81632306942596156E2
2.64132066033016510E7	-5.88601333825759898E2
