freq	unwrap(phase(S(2,1)))
1.00000000000000000E6	-2.20508956120137434E1
2.00000000000000000E6	-4.29506561753726679E1
3.00000000000000000E6	-6.38455408492140730E1
4.00000000000000000E6	-8.47375333452019319E1
5.00000000000000000E6	-1.05627461031598702E2
6.00000000000000000E6	-1.26515870526794361E2
7.00000000000000000E6	-1.47403326665847856E2
8.00000000000000000E6	-1.68290506132168249E2
9.00000000000000000E6	-1.89178184496055124E2
1.00000000000000000E7	-2.10067171311425360E2
1.10000000000000009E7	-2.30958234075208768E2
1.19999999999999996E7	-2.51852040925784770E2
1.30000000000000004E7	-2.72749136140034043E2
1.39999999999999991E7	-2.93649949314098713E2
1.50000000000000000E7	-3.14554829174306061E2
1.60000000000000009E7	-3.35464086143390450E2
1.69999999999999996E7	-3.56378031822926777E2
1.80000000000000004E7	-3.77297005118886153E2
1.89999999999999991E7	-3.98221382559394366E2
2.00000000000000000E7	-4.19151573499439856E2
2.10000000000000009E7	-4.40088005330762666E2
2.20000000000000018E7	-4.61031103922657870E2
2.29999999999999982E7	-4.81981275369101780E2
2.39999999999999991E7	-5.02938894322738861E2
2.50000000000000000E7	-5.23904300658004907E2
2.60000000000000009E7	-5.44877806068390846E2
2.70000000000000018E7	-5.65859709515832687E2
2.79999999999999982E7	-5.86850316913952952E2
2.89999999999999991E7	-6.07849959556519792E2
3.00000000000000000E7	-6.28859003856180543E2
3.10000000000000009E7	-6.49877848261214996E2
3.20000000000000018E7	-6.70906905056016534E2
3.29999999999999982E7	-6.91946573296438139E2
3.39999999999999991E7	-7.12997211277882847E2
3.50000000000000000E7	-7.34059121498443989E2
3.60000000000000009E7	-7.55132557908977997E2
3.70000000000000018E7	-7.76217756086174582E2
3.79999999999999982E7	-7.97314977245335132E2
3.89999999999999991E7	-8.18424546963849053E2
4.00000000000000000E7	-8.39546868786926304E2
4.09999999999999964E7	-8.60682401358302229E2
4.20000000000000018E7	-8.81831602086332644E2
