freq	unwrap(phase(fs(V_import_4,0Hz, 600MHz,2000,,,,0 nsec,250nsec)))-unwrap(phase(fs(V_import_3,0Hz, 600MHz,2000,,,,0 nsec,250nsec)))
0.00000000000000000E0	2.66664055791530297E-11
3.00150075037518782E5	-1.03176270649932578E1
6.00300150075037564E5	-2.06998145668766620E1
9.00450225112556168E5	-3.12085166498238076E1
1.20060030015007513E6	-4.19000248592753088E1
1.50075037518759391E6	-5.28211028377971381E1
1.80090045022511225E6	-6.40041855164010620E1
2.10105052526263147E6	-7.54619535852449008E1
2.40120060030015026E6	-8.71822452369197798E1
2.70135067533766859E6	-9.91249696408056202E1
3.00150075037518782E6	-1.11223011099436109E2
3.30165082541270616E6	-1.23388528652190588E2
3.60180090045022450E6	-1.35524380103652442E2
3.90195097548774328E6	-1.47538290205801892E2
4.20210105052526295E6	-1.59356117794529029E2
4.50225112556278084E6	-1.70931039174696475E2
4.80240120060030051E6	-1.82247313836070779E2
5.10255127563781841E6	-1.93319269895170187E2
5.40270135067533719E6	-2.04187207596606513E2
5.70285142571285597E6	-2.14911881010904793E2
6.00300150075037564E6	-2.25568509388580907E2
6.30315157578789353E6	-2.36240430234321597E2
6.60330165082541232E6	-2.47011873438373364E2
6.90345172586293199E6	-2.57959109421772625E2
7.20360180090044899E6	-2.69139596954010463E2
7.50375187593796955E6	-2.80579927405136020E2
7.80390195097548656E6	-2.92265291154505347E2
8.10405202601300800E6	-3.04135050211152125E2
8.40420210105052590E6	-3.16088990811405690E2
8.70435217608804557E6	-3.28005382001909274E2
9.00450225112556168E6	-3.39766093845594686E2
9.30465232616308313E6	-3.51279898309078353E2
9.60480240120060103E6	-3.62496260276159532E2
9.90495247623811892E6	-3.73407357828992748E2
1.02051025512756377E7	-3.84041295406516303E2
1.05052526263131552E7	-3.94451429396921194E2
1.08054027013506748E7	-4.04705740786679868E2
1.11055527763881945E7	-4.14878171547679564E2
1.14057028514257119E7	-4.25042220612187993E2
1.17058529264632316E7	-4.35266255436934735E2
1.20060030015007513E7	-4.45609788158077791E2
1.23061530765382687E7	-4.56120119200938490E2
1.26063031515757862E7	-4.66829087427804446E2
1.29064532266133059E7	-4.77750096563306847E2
1.32066033016508255E7	-4.88876008211037316E2
1.35067533766883452E7	-5.00178770367674641E2
1.38069034517258649E7	-5.11611593554028055E2
1.41070535267633801E7	-5.23113975273511400E2
1.44072036018008975E7	-5.34619006687929854E2
1.47073536768384172E7	-5.46061570059214318E2
1.50075037518759391E7	-5.57385696176430478E2
1.53076538269134566E7	-5.68549713422186898E2
1.56078039019509740E7	-5.79528650443624382E2
