freq	unwrap(phase(S(2,1)))
1.00000000000000000E6	-4.31037966758252988E1
2.00000000000000000E6	-7.84718697168318347E1
3.00000000000000000E6	-1.10942345203337966E2
4.00000000000000000E6	-1.46947954182803131E2
5.00000000000000000E6	-1.88481992578261215E2
6.00000000000000000E6	-2.28428558317786701E2
7.00000000000000000E6	-2.62699907876052885E2
8.00000000000000000E6	-2.95683055607564782E2
9.00000000000000000E6	-3.33050605411089151E2
1.00000000000000000E7	-3.74892739996753566E2
1.10000000000000009E7	-4.13822661282680571E2
1.19999999999999996E7	-4.47832669642976278E2
1.30000000000000004E7	-4.81801427730074927E2
1.39999999999999991E7	-5.20464435027353556E2
1.50000000000000000E7	-5.62077229307829107E2
1.60000000000000009E7	-6.00046471752625799E2
1.69999999999999996E7	-6.34295554791056038E2
1.80000000000000004E7	-6.69690982983712946E2
1.89999999999999991E7	-7.09518219407867168E2
2.00000000000000000E7	-7.50509465176368185E2
2.10000000000000009E7	-7.87767882077061188E2
2.20000000000000018E7	-8.22794728016085308E2
2.29999999999999982E7	-8.59929844358121009E2
2.39999999999999991E7	-9.00570547986344039E2
2.50000000000000000E7	-9.40733407567686797E2
2.60000000000000009E7	-9.77757501354732916E2
2.70000000000000018E7	-1.01412361306599297E3
2.79999999999999982E7	-1.05305207811166524E3
2.89999999999999991E7	-1.09399801894434368E3
3.00000000000000000E7	-1.13344821283175357E3
3.10000000000000009E7	-1.17092534722156461E3
3.20000000000000018E7	-1.20908434783950991E3
3.29999999999999982E7	-1.24948766008721623E3
3.39999999999999991E7	-1.29032636107812104E3
3.50000000000000000E7	-1.32959174557332749E3
3.60000000000000009E7	-1.36828968758994685E3
3.70000000000000018E7	-1.40835551613829457E3
3.79999999999999982E7	-1.44965404458268288E3
3.89999999999999991E7	-1.49041495977770166E3
4.00000000000000000E7	-1.53035122019406389E3
4.09999999999999964E7	-1.57082093912457310E3
4.20000000000000018E7	-1.61244587232624492E3
4.29999999999999982E7	-1.65425735780138572E3
4.40000000000000036E7	-1.69555377542690922E3
4.50000000000000000E7	-1.73699343063024036E3
4.59999999999999964E7	-1.77926549231240250E3
4.70000000000000018E7	-1.82199238426958421E3
4.79999999999999982E7	-1.86458565748594762E3
4.90000000000000036E7	-1.90728439276713035E3
5.00000000000000000E7	-1.95057793171221117E3
5.09999999999999964E7	-1.99435651719074203E3
5.20000000000000018E7	-2.03826376358290817E3
5.29999999999999982E7	-2.08238446174674774E3
5.40000000000000036E7	-2.12700047541459769E3
5.50000000000000000E7	-2.17207943515992907E3
5.59999999999999964E7	-2.21744724045211772E3
5.70000000000000018E7	-2.26315800152348334E3
5.79999999999999982E7	-2.30935367197969565E3
5.90000000000000036E7	-2.35601577046900346E3
6.00000000000000000E7	-2.40308316589482240E3
6.09999999999999964E7	-2.45060663681905000E3
6.20000000000000018E7	-2.49864934849882880E3
6.29999999999999982E7	-2.54720352807582762E3
6.40000000000000036E7	-2.59626892831463518E3
6.50000000000000000E7	-2.64588720643647202E3
6.59999999999999964E7	-2.69608654628956490E3
6.70000000000000018E7	-2.74687635016375120E3
6.79999999999999982E7	-2.79827978326115590E3
6.90000000000000036E7	-2.85032597587189773E3
7.00000000000000000E7	-2.90303518899912483E3
7.09999999999999964E7	-2.95642760375346070E3
7.20000000000000018E7	-3.01052618249859671E3
7.29999999999999982E7	-3.06535026878210726E3
7.40000000000000036E7	-3.12091556157260452E3
7.50000000000000000E7	-3.17723466489477557E3
7.59999999999999964E7	-3.23431402604822882E3
7.70000000000000018E7	-3.29215151484016966E3
7.79999999999999982E7	-3.35073379480203570E3
7.90000000000000036E7	-3.41003209116570583E3
8.00000000000000000E7	-3.46999702415837996E3
8.09999999999999964E7	-3.53055220222270583E3
8.19999999999999929E7	-3.59158627077169701E3
8.30000000000000071E7	-3.65294360839470400E3
8.40000000000000036E7	-3.71441408062714640E3
8.50000000000000000E7	-3.77572291866957865E3
8.59999999999999964E7	-3.83652275209584426E3
8.69999999999999929E7	-3.89639093613959986E3
8.80000000000000071E7	-3.95483622145776659E3
8.90000000000000036E7	-4.01131867320314317E3
9.00000000000000000E7	-4.06528457266773735E3
9.09999999999999964E7	-4.11621346621027584E3
9.19999999999999929E7	-4.16366884851459584E3
9.30000000000000071E7	-4.20734028648530956E3
9.40000000000000036E7	-4.24706613334575600E3
9.50000000000000000E7	-4.28283239608860011E3
9.59999999999999964E7	-4.31475129769785326E3
9.69999999999999929E7	-4.34302826780327855E3
9.80000000000000071E7	-4.36792672062049281E3
9.90000000000000036E7	-4.38973727802446234E3
1.00000000000000000E8	-4.40875449420709220E3
1.01000000000000001E8	-4.42526133349607420E3
1.02000000000000002E8	-4.43952014103032244E3
1.03000000000000003E8	-4.45176838242998052E3
1.04000000000000004E8	-4.46221754756975564E3
1.05000000000000004E8	-4.47105396672254862E3
1.06000000000000005E8	-4.47844065607684882E3
1.06999999999999984E8	-4.48451961974815383E3
1.08000000000000007E8	-4.48941425897894675E3
1.09000000000000008E8	-4.49323169251761367E3
1.10000000000000009E8	-4.49606488902802415E3
1.10999999999999988E8	-4.49799457138401682E3
1.11999999999999988E8	-4.49909088653929956E3
1.13000000000000012E8	-4.49941485278775044E3
1.14000000000000012E8	-4.49901960480410068E3
1.14999999999999991E8	-4.49795145991135303E3
1.15999999999999992E8	-4.49625082901825657E3
1.16999999999999993E8	-4.49395299410350013E3
1.18000000000000016E8	-4.49108877187311162E3
1.18999999999999995E8	-4.48768508077150408E3
1.19999999999999996E8	-4.48376542615545226E3
1.20999999999999996E8	-4.47935031626465996E3
1.21999999999999997E8	-4.47445761969834610E3
1.22999999999999998E8	-4.46910287343946155E3
1.23999999999999999E8	-4.46329954904543591E3
1.25000000000000000E8	-4.45705928341839464E3
1.26000000000000001E8	-4.45039207960028627E3
1.27000000000000002E8	-4.44330648187380994E3
1.28000000000000003E8	-4.43580972969482268E3
1.29000000000000004E8	-4.42790789279859265E3
1.30000000000000004E8	-4.41960599092295414E3
1.31000000000000005E8	-4.41090810022440394E3
1.31999999999999984E8	-4.40181744834706379E3
1.33000000000000007E8	-4.39233650041147516E3
1.34000000000000008E8	-4.38246703603719379E3
1.35000000000000009E8	-4.37221022050063546E3
1.35999999999999988E8	-4.36156666982063612E3
1.36999999999999988E8	-4.35053651101407901E3
1.38000000000000012E8	-4.33911943896595709E3
1.39000000000000012E8	-4.32731476975725382E3
1.39999999999999991E8	-4.31512149179489057E3
1.40999999999999992E8	-4.30253831506793727E3
1.41999999999999993E8	-4.28956371910567036E3
1.43000000000000016E8	-4.27619600011425050E3
1.43999999999999995E8	-4.26243331776696355E3
1.44999999999999996E8	-4.24827374176487726E3
1.45999999999999996E8	-4.23371529919671818E3
1.46999999999999997E8	-4.21875602201438848E3
