time	V_in
0.00000000000000000E0	1.26138227648327828E-66
1.00000000000000067E-11	1.30622470700579196E-66
2.00000000000000133E-11	1.35900322440893206E-66
5.00000000000000355E-11	1.57300377936777536E-66
1.40000000000000036E-10	2.58462021423554500E-66
4.10000000000000053E-10	1.19554761140182575E-65
7.39962022041366652E-10	7.63092080109689519E-65
1.36123446998136477E-9	2.45428065902942727E-63
2.31185457572045161E-9	4.51509806518495349E-61
3.31185457572045205E-9	9.71090858823913727E-59
4.31185457572045205E-9	1.87042741972856597E-56
5.31185457572045117E-9	3.23663815770163144E-54
6.31185457572044939E-9	5.03162206250169408E-52
7.31185457572045028E-9	7.02720837572911883E-50
8.31185457572045117E-9	8.81696151264638850E-48
9.31185457572045117E-9	9.93840579133394897E-46
1.03118545757204516E-8	1.00641379777292728E-43
1.13118545757204547E-8	9.15585625745669063E-42
1.23118545757204556E-8	7.48314859545374933E-40
1.33118545757204587E-8	5.49456521064928971E-38
1.43118545757204574E-8	3.62448614009468262E-36
1.53118545757204538E-8	2.14795087623048442E-34
1.63118545757204525E-8	1.14358311190835282E-32
1.73118545757204534E-8	5.46987451224261179E-31
1.83118545757204543E-8	2.35046640444609078E-29
1.93118545757204485E-8	9.07399765638424149E-28
2.03118545757204494E-8	3.14711158347879039E-26
2.13118545757204503E-8	9.80608102957712724E-25
2.23118545757204512E-8	2.74504659047933064E-23
2.33118545757204521E-8	6.90360551651186238E-22
2.43118545757204441E-8	1.55982314024320168E-20
2.53118545757204449E-8	3.16627815155753467E-19
2.63118545757204370E-8	5.77428565159065155E-18
2.73118545757204423E-8	9.46071876252497290E-17
2.83118545757204343E-8	1.39260453318939481E-15
2.93118545757204352E-8	1.84166377815049787E-14
3.03118545757204405E-8	2.18812793964526664E-13
3.13118545757204458E-8	2.33569263156724327E-12
3.23118545757204423E-8	2.23995788916098126E-11
3.33118545757204476E-8	1.92994744726416845E-10
3.43118545757204441E-8	1.49393774715759653E-9
3.53118545757204538E-8	1.03896373367467176E-8
3.63118545757204458E-8	6.49154557582840130E-8
3.73118545757204600E-8	3.64396370039316597E-7
3.83118545757204609E-8	1.83770548022933733E-6
3.93118545757204574E-8	8.32627534504716671E-6
4.03118545757204583E-8	3.38918295704341288E-5
4.13118545757204547E-8	1.23937997438189407E-4
4.23118545757204600E-8	4.07168894208907872E-4
4.33118545757204654E-8	1.20171289936151737E-3
