time	V_out
0.00000000000000000E0	1.23608163152616646E-66
1.00000000000000067E-11	1.23607912981641599E-66
2.00000000000000133E-11	1.23607912611671744E-66
5.00000000000000355E-11	1.23607914209949366E-66
1.40000000000000036E-10	1.23607911810168192E-66
4.10000000000000053E-10	1.23607914580196598E-66
7.39962022041366652E-10	1.23607911614138222E-66
1.36123446998136477E-9	1.23607666507457803E-66
2.31185457572045161E-9	1.23607420292608161E-66
3.31185457572045205E-9	1.23607163028361877E-66
4.31185457572045205E-9	1.23606903392912848E-66
5.31185457572045117E-9	1.23606645719244312E-66
6.31185457572044939E-9	1.23606387604529999E-66
7.31185457572045028E-9	1.23606130458277574E-66
8.31185457572045117E-9	1.23605873279031697E-66
9.31185457572045117E-9	1.23605617102903587E-66
1.03118545757204516E-8	1.23605361465847907E-66
1.13118545757204547E-8	1.23605107443098827E-66
1.23118545757204556E-8	1.23604854132465491E-66
1.33118545757204587E-8	1.23604602826106102E-66
1.43118545757204574E-8	1.23604353319258808E-66
1.53118545757204538E-8	1.23604108834862614E-66
1.63118545757204525E-8	1.23603973816152135E-66
1.73118545757204534E-8	1.23609563905237807E-66
1.83118545757204543E-8	1.23894379097064244E-66
1.93118545757204485E-8	1.36606823550273870E-66
2.03118545757204494E-8	6.54540039989143008E-66
2.13118545757204503E-8	1.99661281281491343E-64
2.23118545757204512E-8	6.80229429367942373E-63
2.33118545757204521E-8	2.14236088689293824E-61
2.43118545757204441E-8	6.21586355216481756E-60
2.53118545757204449E-8	1.66503383815553985E-58
2.63118545757204370E-8	4.12771223650580232E-57
2.73118545757204423E-8	9.49394818915133420E-56
2.83118545757204343E-8	2.03115681598507747E-54
2.93118545757204352E-8	4.05245074782255976E-53
3.03118545757204405E-8	7.55940331941653021E-52
3.13118545757204458E-8	1.32177967518156514E-50
3.23118545757204423E-8	2.17178822330811805E-49
3.33118545757204476E-8	3.36138444829094851E-48
3.43118545757204441E-8	4.91224735678343105E-47
3.53118545757204538E-8	6.79330297515182124E-46
3.63118545757204458E-8	8.90948444792241823E-45
3.73118545757204600E-8	1.11040043402903654E-43
3.83118545757204609E-8	1.31764448992305150E-42
3.93118545757204574E-8	1.49140655630455288E-41
4.03118545757204583E-8	1.61292002097534315E-40
4.13118545757204547E-8	1.66932915717809394E-39
4.23118545757204600E-8	1.65589257904332543E-38
4.33118545757204654E-8	1.57648324000638662E-37
4.43118545757204707E-8	1.44237781102968210E-36
4.53118545757204849E-8	1.26977963099831226E-35
4.63118545757204636E-8	1.07678365212768146E-34
4.73118545757204778E-8	8.80514678175811127E-34
4.83118545757204831E-8	6.94989657469861477E-33
4.93118545757204796E-8	5.29967839056345813E-32
5.03118545757204938E-8	3.90767250095487650E-31
5.13118545757204991E-8	2.78821525368879364E-30
5.23118545757204956E-8	1.92660028291156249E-29
5.33118545757205098E-8	1.29005732226559955E-28
5.43118545757204974E-8	8.37629532035538737E-28
5.52677873095730376E-8	4.37062013240499248E-27
5.61839141460159119E-8	2.16696845456792975E-26
5.71211675488545012E-8	1.09199986975260988E-25
5.80276576653696363E-8	5.13455519098923752E-25
5.89309346067253070E-8	2.44567237652190705E-24
5.98000023057072028E-8	1.08113593711700728E-23
6.06826439819819896E-8	4.86598126763143668E-23
6.15916556327682851E-8	2.11873547291581632E-22
6.25280009674065873E-8	9.44070284775246371E-22
6.35280009674065749E-8	4.76406845221344621E-21
6.44824833601109226E-8	2.05834090878200993E-20
6.54824833601109102E-8	9.88145639397235875E-20
6.64476101077722703E-8	4.15321402545417762E-19
6.74476101077722490E-8	1.89445673636722756E-18
6.84220358203471601E-8	7.87287645685897708E-18
6.93435525289725341E-8	2.95004843326373445E-17
7.02999528203987190E-8	1.13370258837257509E-16
7.11940005891888994E-8	4.00483374238027068E-16
7.21137625260914827E-8	1.44777508831065216E-15
7.24000000000000021E-8	3.81446154712532293E-15
7.24680580307653255E-8	-4.19147131862116673E-14
7.26128836843813996E-8	3.10699177862211062E-13
7.29894684944784444E-8	-5.30876566458475629E-13
7.36788544788847233E-8	9.98713619517254259E-13
7.41757786930249452E-8	-1.37897702062640848E-12
7.46312421953026117E-8	4.64662481954233630E-12
7.56312421953026170E-8	8.26082950361477231E-12
7.61486447807313471E-8	1.33322407792408559E-11
7.65705686117997697E-8	5.09316393586644445E-12
7.69555193313555996E-8	2.85926583741168638E-11
7.71935712689719278E-8	7.76004851323492506E-12
7.73126476024051357E-8	8.03088055578452575E-11
7.73998706746676390E-8	-3.46039914531864756E-10
7.74737132421237717E-8	1.60742671255647052E-9
7.75293661099373477E-8	-5.00642110280923625E-9
7.75626071331814071E-8	-1.54908091710295226E-10
7.76382705281317698E-8	1.46677772661074712E-8
7.76801422973177669E-8	-8.81494566263068080E-8
7.77527527572785448E-8	1.66243550915217697E-7
7.78045909889851206E-8	-3.28586162130213832E-7
7.78471533325108656E-8	6.05445356804267032E-7
7.79040164798214896E-8	-8.57591747386656600E-7
7.79596634188595150E-8	1.13740413154663189E-6
7.80513816767302604E-8	-1.31142665195962360E-6
7.81032804798014268E-8	1.61446198324510481E-6
7.81559234521827495E-8	-1.89977915831655242E-6
7.82164644048080593E-8	2.13372968757724069E-6
7.83133868329127125E-8	-2.27354789601417906E-6
7.83654789466842860E-8	2.51651414399529649E-6
7.84199160709045984E-8	-2.71963083642982006E-6
7.84836983239259922E-8	2.86465016671987449E-6
7.85598553977249026E-8	-2.97294989825253531E-6
7.86101992728105259E-8	3.18475692690890178E-6
7.86635755365079437E-8	-3.52655275818851699E-6
7.87290980044556932E-8	3.92453384281076545E-6
7.88228521147470218E-8	-3.66783141298643267E-6
7.88753305303895580E-8	3.20085272097957141E-6
7.89000000000000146E-8	-3.52369036882745901E-6
7.89063683735558286E-8	1.55317867028144052E-6
7.89163449952435769E-8	1.90878203731044938E-6
7.89462748603068043E-8	-2.14790653742990445E-7
7.90136958868622230E-8	-1.56698419902927322E-6
7.90611330526093692E-8	2.64504739998834770E-6
7.91088018729766418E-8	-2.94917651856508467E-6
7.91624804907884716E-8	2.86905783081206733E-6
7.92318201643297382E-8	-1.84800124277532163E-6
7.92882509836129756E-8	-6.30695295402712830E-7
7.93325354554637485E-8	3.15001756997950455E-6
7.93834415751718048E-8	-4.71109639858988150E-6
7.94414719609689612E-8	4.90883457975555348E-6
7.95425248067728674E-8	-2.70604599257573764E-6
7.95999320248460407E-8	8.23458313563579125E-7
7.96535111976033505E-8	-1.51592330573919498E-6
7.97115529676469770E-8	4.75147245918526284E-6
7.97699135005182658E-8	-6.37646608616789212E-6
7.98186473071214131E-8	4.53591272490606556E-6
7.98667913770973570E-8	-4.26431458055014279E-6
7.99231537162328642E-8	2.30209122683101786E-6
7.99941362805350842E-8	-2.25180157381219415E-6
8.00671134902258785E-8	2.44949939666563044E-7
8.01181141989548884E-8	5.42682032370901979E-7
8.01724357384399511E-8	5.91654500911602632E-7
8.02423728641155698E-8	-1.84584170646626555E-6
8.03189225602771550E-8	1.48740880377207252E-6
8.03698258064092030E-8	-2.42235204358308120E-6
8.04246896279553525E-8	4.57882789601031881E-6
8.04937852757774763E-8	-4.09032959838535071E-6
8.05656885484489749E-8	3.38646679637543269E-6
8.06162239916240964E-8	-4.93449344630436038E-6
8.06704483298787700E-8	8.24606058455580104E-6
8.07393204561679667E-8	-1.01133986504645468E-5
8.08183232703352061E-8	3.99449780398338117E-6
8.08693757791587231E-8	-2.88407615499865555E-6
8.09241457837187639E-8	3.35456169595693332E-6
8.09926408431816469E-8	-4.04868546839746823E-6
8.10651676101643837E-8	3.39166567823657106E-6
8.11156762550120902E-8	-1.43653490053382971E-6
8.11698431909114859E-8	1.53421103519750690E-6
8.12382997708070498E-8	-1.85705323265780575E-6
8.13182031345577272E-8	4.82316615543867133E-7
8.13693079766082583E-8	1.24389792829117729E-6
8.14240629737075849E-8	9.01485568214454425E-7
8.14923741029646997E-8	-5.18181244044943767E-7
8.15649614754891417E-8	-2.44873986909511032E-6
8.16154548995499773E-8	4.53831621467586643E-6
8.16695915955352092E-8	-1.52163613396360087E-6
8.17379395846299595E-8	-3.66909035059309740E-6
8.18182781643166201E-8	3.04551315844457449E-7
8.18694168319200344E-8	5.26384028656115177E-7
8.19241834262429514E-8	1.00116127379311171E-6
8.19924647780849547E-8	-1.09662885400202303E-6
8.20648724986951095E-8	1.38858349201389619E-6
8.21153513165635474E-8	-6.11119782187891580E-7
8.21694679919132476E-8	1.22237146037876143E-6
8.22378215340291341E-8	-1.74400747507967369E-6
8.22937133207368454E-8	2.24736815152434799E-6
8.23392003390580207E-8	-1.01614546013035545E-6
8.23907754355733779E-8	1.43591692177747543E-6
8.24505292762298936E-8	-6.73237732666610356E-7
8.25057664172270577E-8	-8.62590565237436380E-7
8.25609392809628062E-8	7.00186846806567953E-7
8.26086231219444045E-8	1.82336296863818137E-6
8.26629136262304876E-8	-3.23782282708807978E-6
8.27291886054701919E-8	-1.13060632435382269E-6
8.28192067136141219E-8	-2.67715587041658987E-7
8.28715027139732996E-8	1.57987104248417354E-6
8.29262303437804960E-8	-4.22165739619873470E-7
8.29943862288891232E-8	1.31724632957743504E-6
8.30648612728545643E-8	-1.38838303732796153E-6
8.31151681467133585E-8	9.35642915204272363E-7
8.31692627766519266E-8	-3.78334228925142213E-7
8.32379175701093565E-8	1.50388285371758412E-6
8.32927195923056019E-8	-8.75375366958591883E-7
8.33378827243932996E-8	-1.85758688185281295E-7
8.33893122849774926E-8	-2.76629491206208744E-7
8.34703003167905777E-8	1.21370950717959025E-6
8.35752826620636569E-8	-1.78765802370530569E-7
8.36312990717259730E-8	-3.41114066851800324E-6
8.36865113398634719E-8	-1.09268871698511849E-6
8.37573127111510729E-8	6.27382069366686057E-8
8.38189450384276746E-8	4.03961838299101395E-7
8.38693417545169417E-8	-1.11416932816317460E-8
8.39237132104850936E-8	7.11038803106819994E-7
8.39978559831871507E-8	2.01893520339785404E-8
8.40733040469102022E-8	-7.35015780150190512E-7
8.41245289630944626E-8	-2.01865449959285748E-7
8.41799801705244732E-8	2.09944473782785179E-6
8.42516329459426494E-8	-3.56563652830748090E-7
8.43178617483942006E-8	-2.67431866039599608E-6
8.43684446315366010E-8	-1.31589770326412303E-6
8.44227578245352817E-8	3.22358515812164370E-6
8.45071373755605038E-8	4.28773627053621187E-7
8.45948210962899338E-8	-5.80608158853088607E-6
8.46487571878961020E-8	-1.21829496298132001E-6
8.47052903579965921E-8	1.14861128055105621E-6
8.47904400172203410E-8	8.25694102082614378E-7
8.48400786198698142E-8	-1.50161636764599948E-6
8.48925208449729851E-8	1.08236482811328361E-6
8.49497122798214477E-8	3.72944990335823601E-7
8.50098936809899008E-8	-7.64044810830182808E-7
8.50663031807610537E-8	-2.23101622550150225E-6
8.51144109828090123E-8	1.81212911549442701E-6
8.51701220272747150E-8	2.42813723407201998E-6
8.52379561608272418E-8	-3.49826265769873634E-7
8.53137853201019780E-8	-6.06291556453223812E-6
8.53646673660003863E-8	3.61178819952383767E-7
8.54185763534476195E-8	4.91889758805589672E-6
8.54862976788148821E-8	2.70759427008265519E-6
8.55653612939851627E-8	-8.56932848514593282E-6
8.56160029362010455E-8	-3.88740365729750303E-6
8.56705730736905657E-8	1.90473539044966467E-6
8.57549657419526845E-8	5.25902196592729165E-6
8.58108060963039776E-8	-4.19640024344038221E-6
8.58606255938683383E-8	8.22881304432232774E-7
8.59140009807930305E-8	-3.63746947631992956E-7
8.59837466807573136E-8	1.57371958805676426E-7
8.60782678535239221E-8	-1.20230030935580401E-6
8.61311398512583182E-8	5.36760058144135499E-6
8.61868501042910040E-8	3.00373637752790179E-6
8.62863123317688085E-8	-8.98724586891114186E-6
8.63444916377317995E-8	-3.28152473514020127E-6
8.63983531628186263E-8	8.44489657202848676E-6
8.64545717161686156E-8	7.93566293326142436E-6
8.65355439335395360E-8	-8.41926619036100199E-6
8.65882236682246997E-8	-9.61217735913617588E-6
8.66391781766283486E-8	-2.73434874007961293E-6
8.66983362255536605E-8	1.00820324027397668E-5
8.67862805548390526E-8	-2.14104773809103577E-6
8.68393206308722831E-8	-2.42446681453599400E-6
8.68921386745342517E-8	-2.21899949622902692E-7
8.69485797908731861E-8	1.08412455329105173E-6
8.70091569739357951E-8	-3.47834004415274345E-6
