Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,2
Label,,,
TIME,CH1,CH2,CH3
-9.93720e-06,-0.000109375,-0.00448437,5.85313
-9.93700e-06,-0.0005,-0.0039375,5.84656
-9.93680e-06,-0.000390625,-0.00371875,5.83969
-9.93660e-06,-0.000234375,-0.00351563,5.8275
-9.93640e-06,-1.5625e-05,-0.00385937,5.82344
-9.93620e-06,0.000328125,-0.0039375,5.82625
-9.93600e-06,1.5625e-05,-0.004125,5.82344
-9.93580e-06,0.00021875,-0.00398437,5.81219
-9.93560e-06,0.000640625,-0.00359375,5.80594
-9.93540e-06,0.000328125,-0.0038125,5.80813
-9.93520e-06,0.000359375,-0.003875,5.81156
-9.93500e-06,0.000984375,-0.00335937,5.80531
-9.93480e-06,0.000828125,-0.00365625,5.81031
-9.93460e-06,0.000890625,-0.0034375,5.80063
-9.93440e-06,0.0006875,-0.00321875,5.80719
-9.93420e-06,0.000984375,-0.00329687,5.80313
-9.93400e-06,0.000984375,-0.00285937,5.79875
-9.93380e-06,0.00115625,-0.002875,5.805
-9.93360e-06,0.00109375,-0.00340625,5.81344
-9.93340e-06,0.00101563,-0.00317187,5.80469
-9.93320e-06,0.000734375,-0.00309375,5.80875
-9.93300e-06,0.000609375,-0.003125,5.80438
-9.93280e-06,0.00110938,-0.00340625,5.80438
-9.93260e-06,0.0011875,-0.00315625,5.80781
-9.93240e-06,0.0010625,-0.003625,5.83281
-9.93220e-06,0.00132813,-0.00340625,5.85
-9.93200e-06,0.001375,-0.0036875,5.84813
-9.93180e-06,0.00139063,-0.0038125,5.84281
-9.93160e-06,0.00164063,-0.00351563,5.84219
-9.93140e-06,0.00195312,-0.00359375,5.85313
-9.93120e-06,0.00184375,-0.0036875,5.85438
-9.93100e-06,0.00195312,-0.00378125,5.8575
-9.93080e-06,0.00165625,-0.00360937,5.87031
-9.93060e-06,0.00165625,-0.00354688,5.88813
-9.93040e-06,0.00176563,-0.00339062,5.90375
-9.93020e-06,0.00207813,-0.003625,5.91125
-9.93000e-06,0.00189063,-0.00385937,5.9225
-9.92980e-06,0.00254688,-0.00401562,5.94438
-9.92960e-06,0.00182813,-0.00360937,5.95031
-9.92940e-06,0.00195312,-0.0039375,5.96156
-9.92920e-06,0.00173438,-0.00335937,5.96312
-9.92900e-06,0.00192188,-0.00375,5.96906
-9.92880e-06,0.00203125,-0.00395313,5.97625
-9.92860e-06,0.00271875,-0.0040625,5.98344
-9.92840e-06,0.0024375,-0.00440625,6.00469
-9.92820e-06,0.002125,-0.00410937,6.00813
-9.92800e-06,0.002625,-0.004,6.01281
-9.92780e-06,0.00220313,-0.00420312,6.02406
-9.92760e-06,0.00235938,-0.00445313,6.02813
-9.92740e-06,0.00239063,-0.00445313,6.0375
-9.92720e-06,0.00282813,-0.00426562,6.05281
-9.92700e-06,0.00289063,-0.00384375,6.05969
-9.92680e-06,0.00279688,-0.00365625,6.06938
-9.92660e-06,0.002625,-0.00359375,6.06906
-9.92640e-06,0.00260938,-0.00371875,6.07437
-9.92620e-06,0.00271875,-0.00390625,6.07719
-9.92600e-06,0.00304688,-0.0043125,6.08688
-9.92580e-06,0.0030625,-0.0035625,6.09906
-9.92560e-06,0.00296875,-0.003875,6.10594
-9.92540e-06,0.00314063,-0.00392188,6.10344
-9.92520e-06,0.003,-0.00403125,6.1125
-9.92500e-06,0.00376563,-0.00367187,6.11375
-9.92480e-06,0.00339063,-0.0039375,6.13063
-9.92460e-06,0.0029375,-0.00392188,6.12969
-9.92440e-06,0.00303125,-0.00371875,6.12969
-9.92420e-06,0.003375,-0.004,6.13469
-9.92400e-06,0.00329688,-0.00395313,6.14375
-9.92380e-06,0.0035,-0.00404688,6.15531
-9.92360e-06,0.0036875,-0.00370312,6.16
-9.92340e-06,0.0035,-0.00360937,6.16781
-9.92320e-06,0.00340625,-0.00379687,6.16812
-9.92300e-06,0.003875,-0.0035625,6.17938
-9.92280e-06,0.00403125,-0.00376562,6.19406
-9.92260e-06,0.0038125,-0.00379687,6.1975
-9.92240e-06,0.00373438,-0.00335937,6.19344
-9.92220e-06,0.00379688,-0.00304688,6.18594
-9.92200e-06,0.00378125,-0.00335937,6.20281
-9.92180e-06,0.00359375,-0.00329687,6.19937
-9.92160e-06,0.00375,-0.00315625,6.20875
-9.92140e-06,0.00378125,-0.00295313,6.21094
-9.92120e-06,0.004125,-0.00271875,6.21844
-9.92100e-06,0.0040625,-0.00321875,6.22813
-9.92080e-06,0.00390625,-0.0031875,6.22625
-9.92060e-06,0.00382813,-0.00279687,6.22125
-9.92040e-06,0.00451563,-0.00275,6.22656
-9.92020e-06,0.0043125,-0.00273438,6.22125
-9.92000e-06,0.00451563,-0.00275,6.22719
-9.91980e-06,0.00429688,-0.00317187,6.22688
-9.91960e-06,0.0045625,-0.00292188,6.23406
-9.91940e-06,0.0045625,-0.00271875,6.23406
-9.91920e-06,0.00421875,-0.0026875,6.22375
-9.91900e-06,0.00398438,-0.00239062,6.21719
-9.91880e-06,0.00421875,-0.00209375,6.22656
-9.91860e-06,0.00425,-0.00203125,6.22844
-9.91840e-06,0.00435937,-0.00170312,6.235
-9.91820e-06,0.004375,-0.00246875,6.24281
-9.91800e-06,0.00442188,-0.00234375,6.23281
-9.91780e-06,0.00482813,-0.00195312,6.22438
-9.91760e-06,0.00464063,-0.00176562,6.21781
-9.91740e-06,0.00421875,-0.00185937,6.21875
-9.91720e-06,0.00432813,-0.00204688,6.20625
-9.91700e-06,0.0045625,-0.00179687,6.20156
-9.91680e-06,0.00489063,-0.00135937,6.20094
-9.91660e-06,0.00490625,-0.0013125,6.20219
-9.91640e-06,0.0045,-0.00148437,6.21188
-9.91620e-06,0.004875,-0.00157812,6.20406
-9.91600e-06,0.005125,-0.001375,6.19375
-9.91580e-06,0.00510937,-0.00128125,6.1725
-9.91560e-06,0.005,-0.00151563,6.16594
-9.91540e-06,0.005125,-0.00159375,6.16125
-9.91520e-06,0.00489063,-0.0013125,6.16656
-9.91500e-06,0.00507813,-0.0010625,6.16688
-9.91480e-06,0.0055,-0.00096875,6.16719
-9.91460e-06,0.00509375,-0.00114063,6.14563
-9.91440e-06,0.00490625,-0.00114063,6.13438
-9.91420e-06,0.00548438,-0.00028125,6.13938
-9.91400e-06,0.00520313,-0.00090625,6.12938
-9.91380e-06,0.00526563,-0.0008125,6.12
-9.91360e-06,0.00564063,-0.00084375,6.1225
-9.91340e-06,0.00525,-0.00065625,6.1175
-9.91320e-06,0.00504688,-0.0005625,6.11063
-9.91300e-06,0.005375,-0.000671875,6.09906
-9.91280e-06,0.00521875,-0.00101563,6.08375
-9.91260e-06,0.00521875,-0.00103125,6.08125
-9.91240e-06,0.00559375,-0.00109375,6.07344
-9.91220e-06,0.00571875,-0.00125,6.06031
-9.91200e-06,0.0055,-0.001125,6.04594
-9.91180e-06,0.005375,-0.00142188,6.05063
-9.91160e-06,0.00545313,-0.00134375,6.05313
-9.91140e-06,0.005125,-0.0013125,6.05594
-9.91120e-06,0.00523438,-0.00101563,6.04156
-9.91100e-06,0.00570313,-0.00123438,6.02875
-9.91080e-06,0.00573438,-0.00167187,6.03375
-9.91060e-06,0.00592188,-0.00121875,6.02781
-9.91040e-06,0.00571875,-0.00179687,6.02875
