Model,DPO4104
Firmware Version,2.48

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,Hz
Horizontal Scale,2e-06,,,,Horizontal Scale,2.5e+08
Sample Interval,2e-10,,,,Sample Interval,25000
Record Length,100000,,,,Record Length,100000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,0.1,0.1,1,,Vertical Scale,0.0005
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,MATH
-9.86560e-06,0.004625,0.00078125,3.87125,,0.00000e+00,0.000402656
-9.86540e-06,0.004375,0.00053125,3.87172,,2.50000e+04,0.000336562
-9.86520e-06,0.00434375,0.00117188,3.87344,,5.00000e+04,0.000270469
-9.86500e-06,0.00460937,0.0011875,3.87594,,7.50000e+04,0.000150703
-9.86480e-06,0.00476562,0.000921875,3.875,,1.00000e+05,3.09375e-05
-9.86460e-06,0.00442187,0.000625,3.86937,,1.25000e+05,3.16406e-05
-9.86440e-06,0.0044375,0.00121875,3.87203,,1.50000e+05,3.24219e-05
-9.86420e-06,0.0045,0.00107813,3.87188,,1.75000e+05,3.07812e-05
-9.86400e-06,0.00503125,0.00134375,3.875,,2.00000e+05,2.92187e-05
-9.86380e-06,0.00482813,0.00178125,3.87641,,2.25000e+05,2.75781e-05
-9.86360e-06,0.00454687,0.00148438,3.87281,,2.50000e+05,2.59375e-05
-9.86340e-06,0.00473437,0.00159375,3.87625,,2.75000e+05,2.57812e-05
-9.86320e-06,0.00545313,0.00184375,3.87875,,3.00000e+05,2.57031e-05
-9.86300e-06,0.00507813,0.00225,3.87453,,3.25000e+05,2.57812e-05
-9.86280e-06,0.00507813,0.00201562,3.87359,,3.50000e+05,2.59375e-05
-9.86260e-06,0.00517187,0.0019375,3.87359,,3.75000e+05,2.6875e-05
-9.86240e-06,0.00482813,0.00210937,3.87656,,4.00000e+05,2.78906e-05
-9.86220e-06,0.00551562,0.00235937,3.87828,,4.25000e+05,2.90625e-05
-9.86200e-06,0.00570313,0.00217188,3.87969,,4.50000e+05,3.02344e-05
-9.86180e-06,0.0058125,0.00260937,3.87781,,4.75000e+05,2.96094e-05
-9.86160e-06,0.00595313,0.00271875,3.87859,,5.00000e+05,2.89844e-05
-9.86140e-06,0.00598438,0.00242188,3.87875,,5.25000e+05,2.80469e-05
-9.86120e-06,0.00603125,0.00276562,3.87734,,5.50000e+05,2.71875e-05
-9.86100e-06,0.00603125,0.00279688,3.87672,,5.75000e+05,2.71094e-05
-9.86080e-06,0.005875,0.00278125,3.87828,,6.00000e+05,2.70312e-05
-9.86060e-06,0.00585938,0.00276562,3.87797,,6.25000e+05,2.66406e-05
-9.86040e-06,0.00634375,0.00317188,3.87938,,6.50000e+05,2.63281e-05
-9.86020e-06,0.00632812,0.003,3.875,,6.75000e+05,2.53906e-05
-9.86000e-06,0.00629687,0.003,3.88,,7.00000e+05,2.45312e-05
-9.85980e-06,0.00632812,0.003,3.87828,,7.25000e+05,2.35156e-05
-9.85960e-06,0.00646875,0.00321875,3.87844,,7.50000e+05,2.25e-05
-9.85940e-06,0.00645312,0.00340625,3.87984,,7.75000e+05,2.25e-05
-9.85920e-06,0.00670312,0.00373438,3.87844,,8.00000e+05,2.25781e-05
-9.85900e-06,0.00670312,0.00345313,3.87812,,8.25000e+05,2.29687e-05
-9.85880e-06,0.00678125,0.003625,3.87875,,8.50000e+05,2.33594e-05
-9.85860e-06,0.00676562,0.00360937,3.88047,,8.75000e+05,2.33594e-05
-9.85840e-06,0.007125,0.00404688,3.87906,,9.00000e+05,2.33594e-05
-9.85820e-06,0.00704687,0.00371875,3.88125,,9.25000e+05,0.000268281
-9.85800e-06,0.00734375,0.00407813,3.88016,,9.50000e+05,0.000513203
-9.85780e-06,0.00715625,0.00395313,3.88094,,9.75000e+05,0.000762031
-9.85760e-06,0.00732812,0.00409375,3.88031,,1.00000e+06,0.00101094
-9.85740e-06,0.007125,0.00407813,3.88281,,1.02500e+06,0.000764375
-9.85720e-06,0.00710938,0.00389063,3.88078,,1.05000e+06,0.000517891
-9.85700e-06,0.00764062,0.00428125,3.88063,,1.07500e+06,0.000272109
-9.85680e-06,0.00804687,0.0048125,3.88266,,1.10000e+06,2.64062e-05
-9.85660e-06,0.0079375,0.00454688,3.88281,,1.12500e+06,2.64062e-05
-9.85640e-06,0.0075625,0.0040625,3.88219,,1.15000e+06,2.64062e-05
-9.85620e-06,0.007875,0.0044375,3.88141,,1.17500e+06,2.75e-05
-9.85600e-06,0.00759375,0.00475,3.88094,,1.20000e+06,2.85937e-05
-9.85580e-06,0.00782812,0.00475,3.8825,,1.22500e+06,2.86719e-05
-9.85560e-06,0.0075625,0.00489063,3.88078,,1.25000e+06,2.88281e-05
-9.85540e-06,0.007875,0.0049375,3.88437,,1.27500e+06,2.76562e-05
-9.85520e-06,0.00821875,0.00473438,3.88578,,1.30000e+06,2.64844e-05
-9.85500e-06,0.00817187,0.00525,3.88234,,1.32500e+06,2.53125e-05
-9.85480e-06,0.00815625,0.00501562,3.8825,,1.35000e+06,2.41406e-05
-9.85460e-06,0.00825,0.0048125,3.88391,,1.37500e+06,2.39063e-05
-9.85440e-06,0.007875,0.0046875,3.88141,,1.40000e+06,2.36719e-05
-9.85420e-06,0.00832812,0.00503125,3.88125,,1.42500e+06,2.36719e-05
-9.85400e-06,0.00890625,0.00526562,3.88531,,1.45000e+06,2.375e-05
-9.85380e-06,0.00826562,0.00482813,3.88328,,1.47500e+06,2.4375e-05
-9.85360e-06,0.00814062,0.00514063,3.8825,,1.50000e+06,2.5e-05
-9.85340e-06,0.00815625,0.00534375,3.88469,,1.52500e+06,2.53125e-05
-9.85320e-06,0.00871875,0.0054375,3.88656,,1.55000e+06,2.5625e-05
-9.85300e-06,0.00865625,0.00525,3.88312,,1.57500e+06,2.51563e-05
-9.85280e-06,0.0085,0.00510937,3.88375,,1.60000e+06,2.47656e-05
-9.85260e-06,0.00859375,0.00573438,3.88469,,1.62500e+06,2.53125e-05
-9.85240e-06,0.00832812,0.0055,3.8825,,1.65000e+06,2.58594e-05
-9.85220e-06,0.00898438,0.00576562,3.88281,,1.67500e+06,2.625e-05
-9.85200e-06,0.00873438,0.00545313,3.88172,,1.70000e+06,2.67187e-05
-9.85180e-06,0.00839062,0.00517188,3.88563,,1.72500e+06,2.60938e-05
-9.85160e-06,0.0086875,0.00571875,3.88234,,1.75000e+06,2.54687e-05
-9.85140e-06,0.00832812,0.00496875,3.88203,,1.77500e+06,2.50781e-05
-9.85120e-06,0.00854687,0.00540625,3.88156,,1.80000e+06,2.46875e-05
-9.85100e-06,0.0085625,0.00560937,3.88141,,1.82500e+06,2.5e-05
-9.85080e-06,0.00857812,0.00559375,3.88016,,1.85000e+06,2.53125e-05
-9.85060e-06,0.00889062,0.00560937,3.88281,,1.87500e+06,2.53906e-05
-9.85040e-06,0.00946875,0.00559375,3.88266,,1.90000e+06,2.54687e-05
-9.85020e-06,0.00892187,0.0055625,3.88516,,1.92500e+06,0.000125859
-9.85000e-06,0.00832812,0.00535937,3.88094,,1.95000e+06,0.000226328
-9.84980e-06,0.00876562,0.00570313,3.88094,,1.97500e+06,0.000326875
-9.84960e-06,0.00907812,0.005875,3.88094,,2.00000e+06,0.000427422
-9.84940e-06,0.00920312,0.0058125,3.88344,,2.02500e+06,0.000326484
-9.84920e-06,0.0093125,0.0058125,3.88,,2.05000e+06,0.000225547
-9.84900e-06,0.0089375,0.00553125,3.88094,,2.07500e+06,0.000124766
-9.84880e-06,0.009125,0.00560937,3.88187,,2.10000e+06,2.39844e-05
-9.84860e-06,0.00928125,0.00565625,3.88094,,2.12500e+06,2.33594e-05
-9.84840e-06,0.00907812,0.00579688,3.88109,,2.15000e+06,2.27344e-05
-9.84820e-06,0.0091875,0.00575,3.87797,,2.17500e+06,2.3125e-05
-9.84800e-06,0.009125,0.00567188,3.88031,,2.20000e+06,2.35156e-05
-9.84780e-06,0.00882812,0.00548438,3.87875,,2.22500e+06,2.35937e-05
-9.84760e-06,0.00951562,0.00584375,3.88125,,2.25000e+06,2.375e-05
-9.84740e-06,0.00892187,0.00557813,3.87906,,2.27500e+06,2.32031e-05
-9.84720e-06,0.00896875,0.00590625,3.87953,,2.30000e+06,2.26562e-05
-9.84700e-06,0.00875,0.00571875,3.87766,,2.32500e+06,2.35937e-05
