Model,DPO4104
Firmware Version,2.48

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-06,
Sample Interval,2e-10,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,0.1
Label,,
TIME,CH1,CH2
-9.92500e-06,0.00942188,0.0064375
-9.92480e-06,0.00909375,0.00610938
-9.92460e-06,0.0090625,0.00639063
-9.92440e-06,0.00940625,0.0068125
-9.92420e-06,0.00992188,0.00676563
-9.92400e-06,0.0103594,0.00692188
-9.92380e-06,0.0107656,0.00753125
-9.92360e-06,0.0108437,0.00717188
-9.92340e-06,0.011375,0.00785938
-9.92320e-06,0.0106875,0.00803125
-9.92300e-06,0.0102813,0.00771875
-9.92280e-06,0.0100781,0.00765625
-9.92260e-06,0.011125,0.00789063
-9.92240e-06,0.0107813,0.00734375
-9.92220e-06,0.0102656,0.00785938
-9.92200e-06,0.0101875,0.00828125
-9.92180e-06,0.010625,0.0089375
-9.92160e-06,0.01025,0.0094375
-9.92140e-06,0.0105156,0.00954688
-9.92120e-06,0.0104219,0.00967188
-9.92100e-06,0.0105156,0.00954688
-9.92080e-06,0.0108594,0.00829688
-9.92060e-06,0.011,0.00846875
-9.92040e-06,0.0105313,0.0086875
-9.92020e-06,0.00973438,0.00829688
-9.92000e-06,0.00910938,0.00804688
-9.91980e-06,0.00889062,0.00823438
-9.91960e-06,0.0083125,0.00776563
-9.91940e-06,0.0080625,0.00776563
-9.91920e-06,0.00846875,0.00734375
-9.91900e-06,0.00867188,0.00665625
-9.91880e-06,0.00845313,0.00557813
-9.91860e-06,0.00857813,0.00457813
-9.91840e-06,0.00878125,0.0036875
-9.91820e-06,0.00923438,0.00321875
-9.91800e-06,0.0099375,0.00257813
-9.91780e-06,0.0103125,0.00176563
-9.91760e-06,0.010625,0.00164063
-9.91740e-06,0.0114219,0.00184375
-9.91720e-06,0.0109531,0.00203125
-9.91700e-06,0.0112031,0.00240625
-9.91680e-06,0.0104063,0.00301563
-9.91660e-06,0.00971875,0.00373438
-9.91640e-06,0.00970313,0.00425
-9.91620e-06,0.00978125,0.00571875
-9.91600e-06,0.00889062,0.00617188
-9.91580e-06,0.00853125,0.00659375
-9.91560e-06,0.00853125,0.00789063
-9.91540e-06,0.00815625,0.00889063
-9.91520e-06,0.00864062,0.01025
-9.91500e-06,0.00890625,0.0114219
-9.91480e-06,0.0094375,0.0114375
-9.91460e-06,0.00985938,0.0114688
-9.91440e-06,0.0101563,0.0114219
-9.91420e-06,0.0107344,0.0102813
-9.91400e-06,0.0112031,0.0089375
-9.91380e-06,0.0117344,0.00754688
-9.91360e-06,0.0118281,0.00626563
-9.91340e-06,0.0128281,0.005625
-9.91320e-06,0.0125781,0.00457813
-9.91300e-06,0.0125313,0.00439063
-9.91280e-06,0.0126563,0.00476563
-9.91260e-06,0.0121094,0.0058125
-9.91240e-06,0.0117969,0.00689063
-9.91220e-06,0.0112187,0.00760938
-9.91200e-06,0.0113281,0.00851563
-9.91180e-06,0.0114687,0.00928125
-9.91160e-06,0.011625,0.0100938
-9.91140e-06,0.0117969,0.0101406
-9.91120e-06,0.0126875,0.0100313
-9.91100e-06,0.012625,0.00973438
-9.91080e-06,0.0127656,0.008875
-9.91060e-06,0.0122969,0.00814063
-9.91040e-06,0.012875,0.0078125
-9.91020e-06,0.0121875,0.00729688
-9.91000e-06,0.0124375,0.00764063
-9.90980e-06,0.0120781,0.00789063
-9.90960e-06,0.0114531,0.00820313
-9.90940e-06,0.0110625,0.00828125
-9.90920e-06,0.0114063,0.00809375
-9.90900e-06,0.0111094,0.00814063
-9.90880e-06,0.0118438,0.00840625
-9.90860e-06,0.0120781,0.008125
-9.90840e-06,0.01275,0.007875
-9.90820e-06,0.0137344,0.007625
-9.90800e-06,0.0135625,0.00770313
-9.90780e-06,0.0130938,0.00720313
-9.90760e-06,0.0129219,0.00715625
-9.90740e-06,0.0115625,0.00710938
-9.90720e-06,0.01075,0.00726563
-9.90700e-06,0.0100313,0.00746875
-9.90680e-06,0.0084375,0.00792188
-9.90660e-06,0.00789063,0.00853125
-9.90640e-06,0.00726563,0.00992188
-9.90620e-06,0.00715625,0.0113438
-9.90600e-06,0.00740625,0.0121094
-9.90580e-06,0.00714063,0.0134688
-9.90560e-06,0.00810938,0.0134688
-9.90540e-06,0.00846875,0.0139375
-9.90520e-06,0.009,0.0140313
-9.90500e-06,0.00975,0.0134063
-9.90480e-06,0.0104375,0.0135313
-9.90460e-06,0.0113125,0.0129531
-9.90440e-06,0.0113906,0.0121094
-9.90420e-06,0.0119531,0.0115625
-9.90400e-06,0.0120938,0.0109219
-9.90380e-06,0.0121875,0.0107188
-9.90360e-06,0.0125469,0.0105
-9.90340e-06,0.0127188,0.0113125
-9.90320e-06,0.012875,0.010875
-9.90300e-06,0.0124531,0.0111875
-9.90280e-06,0.01225,0.0113906
-9.90260e-06,0.0119844,0.0112031
-9.90240e-06,0.0116094,0.0110625
-9.90220e-06,0.0111875,0.0108906
-9.90200e-06,0.0104531,0.0105469
-9.90180e-06,0.00975,0.01025
-9.90160e-06,0.00865625,0.011
-9.90140e-06,0.00839062,0.0115156
-9.90120e-06,0.0083125,0.0127344
-9.90100e-06,0.00785938,0.0136094
-9.90080e-06,0.0075625,0.0145469
-9.90060e-06,0.00789063,0.01575
-9.90040e-06,0.00709375,0.0155156
-9.90020e-06,0.00748438,0.0159375
-9.90000e-06,0.00779688,0.0158594
-9.89980e-06,0.00832813,0.0155
-9.89960e-06,0.0086875,0.0152656
-9.89940e-06,0.00890625,0.014625
-9.89920e-06,0.00934375,0.0140625
-9.89900e-06,0.0100469,0.0139375
-9.89880e-06,0.0102656,0.0136875
-9.89860e-06,0.0105,0.0136875
-9.89840e-06,0.0106406,0.01425
-9.89820e-06,0.0115,0.0145781
-9.89800e-06,0.0108125,0.0147031
-9.89780e-06,0.0112813,0.0152344
-9.89760e-06,0.0108594,0.0148281
-9.89740e-06,0.0106094,0.0142969
-9.89720e-06,0.00998438,0.0139063
-9.89700e-06,0.0103594,0.01375
-9.89680e-06,0.00953125,0.0127188
-9.89660e-06,0.00926562,0.0124375
-9.89640e-06,0.00928125,0.0123281
-9.89620e-06,0.00923438,0.0122656
-9.89600e-06,0.00914062,0.012625
-9.89580e-06,0.00928125,0.012875
-9.89560e-06,0.009625,0.0133125
-9.89540e-06,0.0103906,0.0140156
-9.89520e-06,0.0106563,0.0140781
-9.89500e-06,0.0106563,0.0141406
-9.89480e-06,0.0107031,0.0142969
-9.89460e-06,0.0114531,0.0138281
-9.89440e-06,0.0114687,0.0140469
-9.89420e-06,0.0120313,0.0144375
-9.89400e-06,0.0117031,0.0132188
-9.89380e-06,0.012,0.01325
-9.89360e-06,0.012125,0.0128438
-9.89340e-06,0.0125938,0.012875
-9.89320e-06,0.0126875,0.0122188
-9.89300e-06,0.0124375,0.0122656
-9.89280e-06,0.012625,0.0123438
-9.89260e-06,0.0125781,0.01225
-9.89240e-06,0.0125938,0.0122188
-9.89220e-06,0.0124688,0.0120625
-9.89200e-06,0.0126875,0.0125156
-9.89180e-06,0.0123438,0.0121406
-9.89160e-06,0.0125469,0.0122813
-9.89140e-06,0.0125625,0.0122969
-9.89120e-06,0.01325,0.0127344
-9.89100e-06,0.0136094,0.0131406
-9.89080e-06,0.0145156,0.0135313
-9.89060e-06,0.0157656,0.0146094
-9.89040e-06,0.017125,0.0144688
-9.89020e-06,0.0177969,0.0144375
-9.89000e-06,0.0185312,0.0150625
