Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,1
Label,,,
TIME,CH1,CH2,CH3
-9.86240e-06,0.0150156,0.014,0.804375
-9.86220e-06,0.01525,0.0143281,0.8075
-9.86200e-06,0.0155781,0.0145312,0.805469
-9.86180e-06,0.01625,0.0149531,0.8075
-9.86160e-06,0.0164375,0.0153125,0.807812
-9.86140e-06,0.0163437,0.0160625,0.810156
-9.86120e-06,0.0165469,0.0165312,0.804688
-9.86100e-06,0.0165937,0.0164063,0.808281
-9.86080e-06,0.01725,0.0174531,0.805
-9.86060e-06,0.0171094,0.0179844,0.809687
-9.86040e-06,0.0174375,0.0184063,0.806562
-9.86020e-06,0.0174687,0.0190781,0.81125
-9.86000e-06,0.0177344,0.01975,0.810625
-9.85980e-06,0.0173906,0.01975,0.810937
-9.85960e-06,0.0173906,0.0197344,0.805625
-9.85940e-06,0.0176719,0.0202344,0.808906
-9.85920e-06,0.0178906,0.0207188,0.810312
-9.85900e-06,0.0177187,0.0208906,0.812656
-9.85880e-06,0.0175625,0.0212031,0.807031
-9.85860e-06,0.0172812,0.0211094,0.811875
-9.85840e-06,0.0174687,0.0211719,0.813594
-9.85820e-06,0.0176406,0.021625,0.807187
-9.85800e-06,0.0171562,0.0210313,0.808437
-9.85780e-06,0.0170469,0.0210781,0.812656
-9.85760e-06,0.01675,0.0209844,0.806719
-9.85740e-06,0.0168594,0.0207813,0.809844
-9.85720e-06,0.017125,0.0208906,0.8125
-9.85700e-06,0.0161875,0.0199219,0.808281
-9.85680e-06,0.0160937,0.0200469,0.810781
-9.85660e-06,0.0157344,0.0195312,0.811562
-9.85640e-06,0.0157969,0.0193594,0.81125
-9.85620e-06,0.0159062,0.0190625,0.811719
-9.85600e-06,0.0155469,0.018625,0.811875
-9.85580e-06,0.0152188,0.0184375,0.813281
-9.85560e-06,0.015125,0.0181406,0.809531
-9.85540e-06,0.0149531,0.0179688,0.811875
-9.85520e-06,0.0147188,0.0174375,0.810312
-9.85500e-06,0.0147031,0.0168906,0.816875
-9.85480e-06,0.0142344,0.0172031,0.815469
-9.85460e-06,0.0143438,0.0165469,0.814375
-9.85440e-06,0.0141562,0.0169219,0.814688
-9.85420e-06,0.0141875,0.0164063,0.812812
-9.85400e-06,0.0140312,0.0160312,0.810469
-9.85380e-06,0.0137969,0.0157812,0.812812
-9.85360e-06,0.0137969,0.0162969,0.81875
-9.85340e-06,0.0134688,0.0157969,0.813125
-9.85320e-06,0.0134062,0.0154531,0.811094
-9.85300e-06,0.0132812,0.0153594,0.81625
-9.85280e-06,0.0130469,0.0148906,0.815156
-9.85260e-06,0.0135156,0.0149375,0.813281
-9.85240e-06,0.0134375,0.0147031,0.812812
-9.85220e-06,0.0131406,0.0143594,0.815781
-9.85200e-06,0.01275,0.0140312,0.816406
-9.85180e-06,0.0134531,0.0137656,0.818594
-9.85160e-06,0.0129062,0.013875,0.810625
-9.85140e-06,0.0125,0.0131406,0.81625
-9.85120e-06,0.01225,0.0130938,0.810469
-9.85100e-06,0.0121875,0.0127969,0.814375
-9.85080e-06,0.0127656,0.012875,0.821406
-9.85060e-06,0.0120469,0.012125,0.814219
-9.85040e-06,0.0117656,0.0118125,0.814844
-9.85020e-06,0.0119062,0.0114844,0.813437
-9.85000e-06,0.0119375,0.0113438,0.814375
-9.84980e-06,0.0122969,0.0112813,0.815625
-9.84960e-06,0.0118281,0.0109063,0.816094
-9.84940e-06,0.0115937,0.0108281,0.813594
-9.84920e-06,0.0117031,0.0103125,0.815625
-9.84900e-06,0.0116406,0.0104531,0.816562
-9.84880e-06,0.0112812,0.00996875,0.81375
-9.84860e-06,0.0114531,0.00945313,0.816875
-9.84840e-06,0.0113906,0.0096875,0.817656
-9.84820e-06,0.0109844,0.00903125,0.816719
-9.84800e-06,0.01075,0.009375,0.815625
-9.84780e-06,0.0109687,0.00898438,0.813906
-9.84760e-06,0.0109375,0.00885938,0.814531
-9.84740e-06,0.0109531,0.00857813,0.815625
-9.84720e-06,0.0109687,0.00903125,0.817969
-9.84700e-06,0.0107344,0.00859375,0.818281
-9.84680e-06,0.0104062,0.00817187,0.812969
-9.84660e-06,0.0104219,0.00809375,0.815781
-9.84640e-06,0.0102344,0.008,0.815937
-9.84620e-06,0.0103594,0.00771875,0.815
-9.84600e-06,0.0103125,0.00714063,0.813906
-9.84580e-06,0.0103125,0.00725,0.813594
-9.84560e-06,0.0104531,0.00759375,0.817187
-9.84540e-06,0.010125,0.00679688,0.815625
-9.84520e-06,0.0098125,0.00689063,0.810937
-9.84500e-06,0.0096875,0.00678125,0.815156
-9.84480e-06,0.00976562,0.00640625,0.8125
-9.84460e-06,0.00979687,0.00617187,0.813125
-9.84440e-06,0.00984375,0.006625,0.818125
-9.84420e-06,0.0093125,0.006,0.812031
-9.84400e-06,0.00934375,0.00585938,0.812656
-9.84380e-06,0.00942187,0.00590625,0.812656
-9.84360e-06,0.00967187,0.00590625,0.815
-9.84340e-06,0.00957812,0.00573438,0.816406
-9.84320e-06,0.00920312,0.00545313,0.814688
-9.84300e-06,0.00921875,0.00590625,0.812656
-9.84280e-06,0.00929687,0.00557813,0.811719
-9.84260e-06,0.00929687,0.00570313,0.814531
-9.84240e-06,0.0089375,0.00553125,0.812812
-9.84220e-06,0.00876562,0.00509375,0.815156
-9.84200e-06,0.00865625,0.00564063,0.815
-9.84180e-06,0.00832812,0.00515625,0.812656
-9.84160e-06,0.0083125,0.00545313,0.811406
-9.84140e-06,0.00846875,0.005375,0.814531
-9.84120e-06,0.0085,0.00559375,0.811562
-9.84100e-06,0.00848438,0.00532813,0.814062
-9.84080e-06,0.00892187,0.00564063,0.814062
-9.84060e-06,0.00854687,0.00510937,0.8125
-9.84040e-06,0.00809375,0.00517188,0.812031
-9.84020e-06,0.00810938,0.00553125,0.812812
-9.84000e-06,0.00809375,0.00567188,0.812969
-9.83980e-06,0.00829687,0.0055,0.810625
-9.83960e-06,0.00778125,0.00567188,0.806562
-9.83940e-06,0.00759375,0.00529688,0.811406
-9.83920e-06,0.00807812,0.00567188,0.816562
-9.83900e-06,0.00784375,0.0054375,0.813906
-9.83880e-06,0.00746875,0.00532813,0.807812
-9.83860e-06,0.00754687,0.00526562,0.813437
-9.83840e-06,0.00709375,0.00514063,0.806094
-9.83820e-06,0.00726562,0.00498438,0.810312
-9.83800e-06,0.00784375,0.0055,0.816719
-9.83780e-06,0.00721875,0.00478125,0.810312
-9.83760e-06,0.00720312,0.00510937,0.810469
-9.83740e-06,0.00721875,0.00501562,0.809844
-9.83720e-06,0.00732812,0.0050625,0.811875
-9.83700e-06,0.00726562,0.00484375,0.809531
-9.83680e-06,0.007,0.00451562,0.807656
-9.83660e-06,0.007125,0.0043125,0.811719
-9.83640e-06,0.00703125,0.00439063,0.809531
-9.83620e-06,0.00692187,0.00435937,0.811094
-9.83600e-06,0.00692187,0.00435937,0.810312
-9.83580e-06,0.00732812,0.00421875,0.8125
-9.83560e-06,0.00690625,0.00407813,0.812812
-9.83540e-06,0.00689062,0.00373438,0.809531
-9.83520e-06,0.006625,0.00373438,0.809687
-9.83500e-06,0.00703125,0.003125,0.810625
-9.83480e-06,0.0068125,0.00307813,0.808594
-9.83460e-06,0.00689062,0.00320313,0.809063
